Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Rei Brodeur",DET,0,0,0,0,15,176,1.4773,-2,0,11
"Lukas Marklin",DET,13,1,8,10,0,0,NULL,0,1,11
"Kaegan Maddelein",DET,23,19,18,12,0,0,NULL,0,0,11
"Brian Flahie",DET,2,1,5,1,0,0,NULL,0,0,11
"Cody Narveson",MPLS,0,0,0,0,12,111,1.4595,2,0,8
"Cole Treml",MPLS,0,0,0,0,0,0,NULL,0,0,2
"Cole Lachmiller",MPLS,8,2,5,4,0,0,NULL,0,0,5
"Emma Persons",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Max Meier",MPLS,29,8,13,14,0,1,2.0000,1,0,8
"Emily Sveda",MPLS,3,2,8,4,0,0,NULL,0,0,8
"Henry Baer-Benson",MPLS,17,5,5,12,0,0,NULL,0,4,8
"Cassandra Evans",MPLS,0,0,1,0,0,0,NULL,0,0,5
"Gracie Johnson",MPLS,0,0,0,0,1,45,1.2667,-14,0,3
"Mike Devine",MPLS,2,3,8,3,0,0,NULL,0,0,8
"Samantha Schwartz",MPLS,3,0,3,0,0,0,NULL,0,0,6
"Sydney Stommes",MPLS,2,2,2,3,0,0,NULL,0,0,8
"Addie Sobczak",MPLS,0,0,1,0,0,0,NULL,0,0,6
"Anna Nelson",MPLS,0,1,3,2,0,0,NULL,0,0,5
"Alexander Obanor",MPLS,10,7,5,0,0,0,NULL,0,0,8
"Nicole Nelson",MPLS,0,0,0,0,0,0,NULL,0,0,2
"Chris Preston",MPLS,0,0,0,0,0,0,NULL,0,0,3
"Terry Carlson",MPLS,4,3,2,3,0,0,NULL,0,0,6
"Meredith McDowell",MPLS,1,0,0,0,3,35,1.4000,-1,0,8
"Joe Blanchard",MPLS,0,0,0,0,11,96,1.5417,2,0,8
"Ben Zimet",MPLS,4,10,13,3,0,0,NULL,0,0,8
"Matt Bessard",MPLS,2,0,1,1,0,0,NULL,0,0,5
"Jack Sellner",MPLS,2,1,6,2,0,0,NULL,0,0,8
"Joe Goulet",MPLS,4,2,8,5,0,0,NULL,0,1,6
"Katie Papador",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Ben Schlueter",MPLS,0,0,0,0,12,76,1.6316,15,0,8
"Jonah Fuhrman",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Nathan Podolsky",MPLS,0,0,0,0,6,82,1.6098,11,0,8
"Seth Swenson",MPLS,0,0,0,0,0,0,NULL,0,0,0
"Zeke Majeske",MPLS,6,3,4,4,0,0,NULL,0,0,8
"John Alvarez",SA,7,5,6,3,0,4,1.2500,-1,2,12
"David Rodriguez",SA,10,2,9,7,0,0,NULL,0,0,12
"Maya Hinebaugh",SA,0,0,0,0,7,98,1.3299,6,0,9
"Joseph Orduno",SA,0,0,1,2,0,0,NULL,0,0,0
"Riley Moehlmann",SA,7,1,3,3,0,0,NULL,0,0,12
"Catherine Hay",SA,5,2,4,3,0,1,1.0000,-1,0,9
"Jay Stewart",SA,40,20,29,25,0,0,NULL,0,0,12
"Austin Watson",SA,1,0,0,0,0,0,NULL,0,0,3
"Matthew Blackwood",SA,16,13,6,11,0,0,NULL,0,0,12
"Carlos Prado",SA,3,2,1,2,0,0,NULL,0,0,6
"David Avila",SA,19,15,14,14,0,0,NULL,0,0,12
"Milena Sousa",SA,11,14,8,11,0,18,1.1667,-4,0,12
"Dilan Freeman",SA,10,2,4,1,0,0,NULL,0,0,9
"Luke Langlinais",SA,8,10,10,6,0,0,NULL,0,0,9
"Alex Vega",SA,0,0,0,0,0,0,NULL,0,0,3
"Bradley Himes",SA,0,0,0,0,4,71,1.4225,5,0,9
"Emme Gouveia",SA,0,0,0,0,0,0,NULL,0,0,3
"Alyssa Villalba",SA,9,6,13,5,0,0,NULL,0,0,12
"Christian Cortez",SA,4,2,7,4,0,0,NULL,0,1,9
"Kristopher De La Fuente",SA,0,0,0,0,13,177,1.2712,12,0,12
"Ethan Dray",SA,0,0,0,0,0,0,NULL,0,0,0
"Brandy Sanchez",SA,0,0,0,0,5,95,1.2316,2,0,9
"Kyle Bryant",SA,0,0,0,0,14,48,1.0000,-5,0,12
"Julie Picasso",SA,0,0,0,0,0,14,0.9286,0,0,3
"Nicodemus Robles",SA,0,0,0,0,0,13,1.6923,3,0,3
"Terra Robinson",SA,0,0,4,1,0,0,NULL,0,0,6
"Trevor Smith",SA,6,3,4,2,0,0,NULL,0,2,12
"Wyatt Ross",SA,0,0,0,0,0,0,NULL,0,0,0
"Javi Tijerina",SA,0,0,0,0,8,109,1.2202,11,0,12
"Leo Rodriguez",SA,0,2,5,1,0,0,NULL,0,0,6
"Alexandra Fleck",OTT,0,0,6,1,0,0,NULL,0,0,9
"Hailey Yhap",OTT,12,4,32,6,0,0,NULL,0,0,9
"Jess Mulvihill",OTT,0,0,1,0,3,108,1.0278,-43,0,9
"Lex Nakanishi",OTT,0,0,0,0,0,25,0.8800,-12,0,6
"Max Geiler",OTT,9,3,14,5,0,0,NULL,0,0,12
"Lucas Pawley",OTT,3,1,14,1,0,6,0.6667,-5,0,9
"Antoine Bourassa",OTT,9,4,19,9,0,0,NULL,0,0,12
"Eduardo Fonseca Arraes",OTT,0,1,5,0,0,0,NULL,0,0,9
"Alex Naftel",OTT,6,5,11,3,0,0,NULL,0,1,9
"Gwen Naftel",OTT,1,3,12,2,0,0,NULL,0,0,12
"Colin Chia",OTT,0,0,3,0,0,0,NULL,0,0,3
"Nathan Reid",OTT,3,4,24,5,0,0,NULL,0,0,12
"Zach Reiken",OTT,0,0,0,1,12,108,1.1296,-40,0,12
"Marc Evrad",OTT,0,0,0,0,0,45,0.7333,-29,0,9
"Samay Patel",OTT,0,0,0,0,0,0,NULL,0,0,0
"Norbert Buenio",OTT,5,6,20,3,0,0,NULL,0,0,6
"El Doucette",OTT,0,0,0,0,0,0,NULL,0,0,3
"Meg Howden",OTT,0,0,2,0,1,47,0.6596,-31,0,6
"Alexander Rivoche",OTT,0,0,0,0,2,81,0.9383,-48,0,12
"Andre Allard",OTT,0,0,9,0,0,0,NULL,0,0,6
"Louis-Charles Dupont",OTT,2,0,2,0,2,69,1.2319,-20,0,9
"David Danos",OTT,0,0,1,0,7,89,1.1461,-34,0,12
"Darren Bell",OTT,3,3,12,5,0,0,NULL,0,0,3
"Ellie Kalutycz",OTT,7,1,16,10,0,0,NULL,0,0,9
"Emily Naftel",OTT,2,4,11,5,0,19,0.5263,-16,0,9
"Pavel Popov",OTT,0,1,5,3,0,0,NULL,0,0,6
"Julia Merlini",OTT,0,0,5,0,1,28,0.9286,-15,0,9
"Julien Bernier",OTT,0,1,4,0,0,0,NULL,0,0,3
"Sean Bairos",OTT,0,0,0,0,8,104,1.1058,-38,0,12
"Matthew Brockman",OTT,4,4,30,5,0,0,NULL,0,0,12
"Tyrell Byrd",CLT,9,3,13,3,0,0,NULL,0,0,9
"William Forinash",CLT,3,0,4,1,0,0,NULL,0,0,3
"Micki Haralson",CLT,0,0,1,0,1,85,1.2824,-14,0,12
"Tony Bonadio",CLT,0,0,0,0,5,65,1.2615,-15,3,12
"Matthew Shaw",CLT,1,0,3,0,0,0,NULL,0,0,6
"Jordi Sancho",CLT,1,0,1,0,1,25,1.0000,-11,0,9
"Lauren Hirsch",CLT,0,0,0,0,4,67,1.1940,-6,0,12
"Owen Guerrero",CLT,0,0,0,0,0,0,NULL,0,0,0
"Kody LaBauve",CLT,0,0,0,0,17,96,1.3333,-16,0,12
"Courtney Hodge",CLT,0,0,0,0,0,4,1.2500,-3,0,0
"John Keyser",CLT,0,0,0,0,0,11,1.3636,1,0,3
"Jared Woodard",CLT,10,5,6,4,0,0,NULL,0,0,12
"Brandon Peterson",CLT,0,3,3,1,0,0,NULL,0,0,6
"Burl Womack",CLT,5,0,9,0,0,0,NULL,0,0,9
"Celine Richard",CLT,0,0,0,0,14,142,1.2676,-29,0,12
"Ryan Davis",CLT,17,5,14,4,0,1,1.0000,-1,5,12
"Lee Hodge",CLT,20,19,17,13,0,0,NULL,0,0,9
"Toby Jenkins",CLT,1,0,2,1,0,0,NULL,0,0,6
"Madison Burns",CLT,1,1,9,1,0,0,NULL,0,0,9
"Melissa Ross",CLT,6,5,9,2,0,0,NULL,0,0,12
"Braxton Hale",CLT,3,11,8,5,0,0,NULL,0,0,12
"Joe Goldberg",CLT,0,0,0,0,12,89,1.1348,-7,0,9
"Nicholas Thompson",CLT,4,4,9,5,0,0,NULL,0,0,9
"Leo Bonilla",CLT,0,0,0,0,6,65,1.1231,-7,0,9
"Carynne White",CLT,1,3,10,1,0,0,NULL,0,0,12
"Zachary Thompson",CLT,23,12,15,14,0,0,NULL,0,0,12
"Allison Slominski",CLT,0,0,5,1,0,0,NULL,0,0,9
"Adelynn Morris",CLT,4,8,14,2,0,0,NULL,0,0,12
"Mohamed-Yahia Monawar",CLT,4,5,3,3,0,0,NULL,0,0,6
"Christopher Balasa",NYC,1,0,2,1,0,0,NULL,0,0,3
"Annika Kim",NYC,6,3,5,3,0,0,NULL,0,0,12
"Luis Mendoza",NYC,7,5,3,0,0,0,NULL,0,0,9
"Leo Fried",NYC,14,7,8,7,0,0,NULL,0,0,6
"Jon Jackson",NYC,36,22,9,30,0,0,NULL,0,0,12
"Emily Hickmott",NYC,1,0,2,0,2,18,1.4444,4,0,6
"Molly Potter",NYC,10,5,11,7,0,0,NULL,0,0,12
"Tate Kay",NYC,0,0,1,0,6,76,1.6842,8,0,9
"Jason Ng",NYC,0,0,0,0,14,79,1.7468,38,2,12
"Janko Gvozdenovic",NYC,24,8,6,16,0,0,NULL,0,0,9
"Christian Barnes",NYC,0,0,0,0,10,109,1.6789,46,0,12
"Rachel Ayella-Silver",NYC,0,0,0,0,0,0,NULL,0,0,0
"Phill Cain",NYC,0,0,0,0,13,61,1.7541,20,0,6
"Eric Pagoada",NYC,7,7,3,5,0,0,NULL,0,0,6
"Devin Lee",NYC,0,0,0,0,17,98,1.5816,28,0,9
