Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Caleb Williams",CHI,0,0,0,0,1,40,1.2500,-6,0,7
"Lauren Smith",CHI,0,0,3,0,0,0,NULL,0,0,7
"Cole Collins",CHI,5,3,2,4,0,0,NULL,0,0,7
"Tim Kwan",CHI,0,0,0,0,0,9,1.2222,-5,1,4
"Byron Ng",CHI,12,1,5,11,0,0,NULL,0,0,7
"Nivash Jayaram",CHI,4,1,3,1,0,1,1.0000,0,0,7
"Matt Brown",CHI,0,0,0,0,10,96,1.4063,4,0,7
"Ally Manzella",CHI,7,1,7,7,0,0,NULL,0,0,7
"Jim Richert",CHI,0,0,0,0,5,48,1.3333,-2,0,6
"Darian Murcek-Ellis",CHI,0,0,0,0,0,0,NULL,0,0,0
"Colin Gaines",CHI,0,0,0,0,1,19,1.6316,-2,0,3
"Nojus Ausra",CHI,0,0,0,0,6,58,1.3621,-4,1,7
"Michael Mrowiec",CHI,0,0,0,0,3,28,1.3214,-2,0,7
"Benjamin Peachey",CHI,6,1,7,3,0,0,NULL,0,0,7
"Kailey Fugate",CHI,0,0,0,0,0,0,NULL,0,0,0
"Alyssa Marassa",CHI,0,0,0,0,0,0,NULL,0,0,0
"Jemil Hunter",CHI,0,0,0,0,0,0,NULL,0,0,0
"Nathan Digmann",CHI,15,16,11,11,0,0,NULL,0,0,7
"Scotty Rein",CHI,0,0,0,0,0,0,NULL,0,0,0
"Ryley Andrews",CHI,18,6,10,5,0,0,NULL,0,0,7
"Connor Flatley",CHI,0,0,0,0,0,0,NULL,0,0,0
"Matt Melton",CHI,1,1,6,3,0,0,NULL,0,0,7
"Linnea Schultz",CHI,0,0,0,0,0,2,1.5000,0,0,1
"Dany Yaacoub",CHI,0,0,0,0,6,82,1.3293,4,0,7
"Emma Vasquez",CHI,3,4,7,5,0,0,NULL,0,0,7
"Melanie Rolfe",CHI,0,0,1,0,0,0,NULL,0,0,7
"Veronica Hoffman",CHI,0,0,0,0,0,0,NULL,0,0,0
"John Alvarez",SA,0,0,0,0,0,0,NULL,0,0,0
"David Rodriguez",SA,1,0,5,2,0,0,NULL,0,0,2
"Maya Hinebaugh",SA,0,0,0,0,0,20,1.0500,-4,0,2
"Joseph Orduno",SA,0,0,0,0,0,0,NULL,0,0,0
"Riley Moehlmann",SA,0,0,0,0,0,0,NULL,0,0,0
"Catherine Hay",SA,0,0,5,1,0,0,NULL,0,0,2
"Jay Stewart",SA,4,2,7,3,0,0,NULL,0,0,2
"Austin Watson",SA,0,0,0,0,0,0,NULL,0,0,2
"Matthew Blackwood",SA,1,3,8,6,0,0,NULL,0,0,2
"Carlos Prado",SA,1,0,0,0,0,0,NULL,0,0,2
"David Avila",SA,1,2,1,1,0,0,NULL,0,0,2
"Milena Sousa",SA,0,0,0,0,0,0,NULL,0,0,2
"Dilan Freeman",SA,0,0,0,0,0,0,NULL,0,0,0
"Luke Langlinais",SA,3,0,4,2,0,0,NULL,0,0,2
"Alex Vega",SA,0,0,0,0,0,0,NULL,0,0,0
"Bradley Himes",SA,0,0,0,0,3,23,1.3913,-6,0,2
"Emme Gouveia",SA,0,1,0,0,0,0,NULL,0,0,2
"Alyssa Villalba",SA,3,0,5,0,0,0,NULL,0,0,2
"Christian Cortez",SA,2,0,1,0,0,0,NULL,0,0,2
"Kristopher De La Fuente",SA,0,0,0,0,5,36,1.2778,0,0,2
"Ethan Dray",SA,0,0,0,0,0,0,NULL,0,0,0
"Brandy Sanchez",SA,0,0,0,0,0,0,NULL,0,0,0
"Kyle Bryant",SA,0,0,1,0,0,8,1.1250,-2,0,2
"Julie Picasso",SA,0,0,0,0,0,11,1.2727,0,0,2
